DATE,TAVG,TMAX,TMIN
Jan-51,3.88,7.65,0.12
Feb-51,5.25,8.45,2.05
Mar-51,7.48,11.35,3.61
Apr-51,12.32,15.55,9.1
May-51,19.66,24.16,15.15
Jun-51,22.72,26.61,18.82
Jul-51,26.31,29.51,23.11
Aug-51,28.28,31.59,24.98
Sep-51,22.65,25.78,19.51
Oct-51,19.58,24.35,14.82
Nov-51,12.54,17.12,7.96
Dec-51,8.67,13.43,3.91
Jan-52,5.28,9.32,1.24
Feb-52,4.18,6.88,1.48
Mar-52,7.62,11.11,4.12
Apr-52,15.41,20.89,9.93
May-52,19.52,23.77,15.26
Jun-52,24.64,29.31,19.98
Jul-52,27.61,31.15,24.07
Aug-52,28.68,32.98,24.38
Sep-52,24.83,29.01,20.66
Oct-52,18.3,23.4,13.21
Nov-52,15.72,19.35,12.09
Dec-52,5.11,9.78,0.44
Jan-53,3.99,7.84,0.13
Feb-53,6.36,9.53,3.19
Mar-53,9.3,13.64,4.96
Apr-53,14.24,19.51,8.97
May-53,21.16,26.4,15.92
Jun-53,25.35,29.66,21.04
Jul-53,30.39,34.95,25.84
Aug-53,30.65,35.22,26.08
Sep-53,24.34,28.27,20.4
Oct-53,20.31,24.84,15.78
Nov-53,13.47,16.99,9.95
Dec-53,8.38,11.8,4.96
Jan-54,5.92,8.29,3.55
Feb-54,5.92,9.8,2.04
Mar-54,7.66,11.68,3.63
Apr-54,13.9,17.44,10.35
May-54,19.37,22.79,15.95
Jun-54,22.34,25.25,19.43
Jul-54,26.7,29.64,23.76
Aug-54,28.77,32.5,25.03
Sep-54,24.54,28.58,20.51
Oct-54,18.26,22.13,14.38
Nov-54,15.01,19.1,10.91
Dec-54,5.02,8.11,1.93
Jan-55,1.72,5.95,-2.51
Feb-55,7.17,11.08,3.26
Mar-55,8.57,11.9,5.23
Apr-55,15,19.26,10.73
May-55,19.55,23.67,15.43
Jun-55,24.73,28.61,20.85
Jul-55,28.13,31.45,24.82
Aug-55,28.23,31.93,24.53
Sep-55,26.43,30.36,22.5
Oct-55,17.81,22.28,13.33
Nov-55,11.49,16.24,6.74
Dec-55,9.54,14.06,5.03
Jan-56,3.63,7.22,0.04
Feb-56,4.78,9.03,0.52
Mar-56,7.52,11,4.05
Apr-56,14.55,19.21,9.89
May-56,17.22,20.42,14.01
Jun-56,24.53,27.98,21.09
Jul-56,29.85,34.34,25.36
Aug-56,27.42,30.65,24.2
Sep-56,24.08,27.6,20.56
Oct-56,17.9,21.95,13.85
Nov-56,10.42,15.16,5.68
Dec-56,5.66,9.61,1.72
Jan-57,4.6,7.75,1.46
Feb-57,2.34,5.33,-0.65
Mar-57,7.57,11.44,3.71
Apr-57,14.29,18.29,10.28
May-57,18.5,22.53,14.46
Jun-57,22.57,25.88,19.26
Jul-57,29.04,32.8,25.29
Aug-57,27.07,29.85,24.28
Sep-57,20.94,24.3,17.57
Oct-57,17.25,21.57,12.94
Nov-57,13.97,18.43,9.5
Dec-57,7.58,11.22,3.95
Jan-58,2.8,6.54,-0.95
Feb-58,4.88,9.48,0.29
Mar-58,9.3,12.95,5.64
Apr-58,15.24,19.1,11.37
May-58,18.34,22.13,14.55
Jun-58,24.39,28.58,20.2
Jul-58,29.2,33.16,25.25
Aug-58,27.13,30.35,23.92
Sep-58,23.81,27.07,20.55
Oct-58,16.44,20.13,12.74
Nov-58,11.51,15.82,7.21
Dec-58,8.04,12.93,3.14
Jan-59,2.86,6.73,-1.01
Feb-59,6.02,8.52,3.51
Mar-59,10.85,14.81,6.88
Apr-59,14.33,18.27,10.38
May-59,18.81,22.58,15.03
Jun-59,23.79,27.52,20.06
Jul-59,28.91,32.55,25.26
Aug-59,29.2,33.06,25.34
Sep-59,23.91,27.14,20.68
Oct-59,19.28,23.85,14.7
Nov-59,12.98,16.71,9.24
Dec-59,7.78,10.89,4.67
Jan-60,4.98,8.56,1.4
Feb-60,7.54,12.36,2.71
Mar-60,11.4,14.55,8.25
Apr-60,14.25,18.35,10.16
May-60,19,23.11,14.88
Jun-60,23.93,27.23,20.62
Jul-60,29.98,34.02,25.95
Aug-60,27.2,29.79,24.6
Sep-60,24.87,28.08,21.66
Oct-60,18.72,22.75,14.7
Nov-60,13.1,16.55,9.64
Dec-60,4.97,9.32,0.61
Jan-61,3.85,7.71,-0.02
Feb-61,5.38,9.18,1.59
Mar-61,9.81,13.41,6.22
Apr-61,14.97,19.18,10.76
May-61,19.3,23.35,15.24
Jun-61,24.42,27.49,21.35
Jul-61,29.6,33.21,26
Aug-61,29.13,32.56,25.7
Sep-61,25.17,28.23,22.1
Oct-61,18.92,22.45,15.39
Nov-61,14.22,17.83,10.6
Dec-61,7.12,11,3.24
Jan-62,2.4,6.69,-1.88
Feb-62,6.46,11.49,1.43
Mar-62,8.62,13.6,3.65
Apr-62,12.67,17.08,8.25
May-62,18.45,22.28,14.61
Jun-62,23.56,26.67,20.45
Jul-62,28.37,31.61,25.13
Aug-62,27.83,31.38,24.27
Sep-62,24.35,27.63,21.06
Oct-62,18.17,21.79,14.55
Nov-62,12.09,15.7,8.48
Dec-62,7.08,11.52,2.65
Jan-63,1.35,6.58,-3.88
Feb-63,3.68,8.78,-1.41
Mar-63,9.9,14.8,5
Apr-63,15.06,19.17,10.94
May-63,20.65,24.48,16.81
Jun-63,22.91,26.01,19.8
Jul-63,28.37,31.68,25.06
Aug-63,28.45,32.42,24.49
Sep-63,24.5,27.45,21.55
Oct-63,17.07,21.31,12.83
Nov-63,13.44,16.92,9.97
Dec-63,7.13,11.26,2.99
Jan-64,5.64,8.22,3.06
Feb-64,2.18,4.54,-0.19
Mar-64,9.28,13.53,5.04
Apr-64,17.03,20.67,13.39
May-64,18.86,22.21,15.5
Jun-64,23.02,26.28,19.77
Jul-64,29.78,33.62,25.93
